#{"t_start": 1737995165.1949763, "env_id": "WaterSupplyEnv-v1"}
r,l,t
-76979202.196607,2016,1.944997
-77629704.016348,2016,3.833081
-77489649.714757,2016,5.677995
-77868103.104287,2016,7.469992
-77436848.265581,2016,9.301024
-77240558.078595,2016,11.179988
-76975797.512768,2016,13.031987
-74482180.118612,2016,14.895994
-71532574.203507,2016,16.687984
-69853697.271008,2016,18.549984
-66326991.898399,2016,20.427022
-64605398.395501,2016,22.31198
-66138906.398253,2016,24.117981
-63141589.755139,2016,25.968977
-65879451.225922,2016,27.752975
-66680224.587194,2016,29.556976
-68338474.179961,2016,31.55598
-68823204.895425,2016,33.345971
-70029502.341787,2016,35.210977
-69234802.251039,2016,36.973975
-71616731.922185,2016,38.793058
-71218406.147907,2016,40.559973
-72132919.731907,2016,42.341964
-73258573.157625,2016,44.20097
-74284794.988188,2016,46.035961
-73897133.665462,2016,47.832962
-75339181.915981,2016,49.65197
-76707080.18032,2016,51.544956
-77406711.585001,2016,53.355956
-77568209.097663,2016,55.162989
-77392737.627767,2016,57.102952
-77704811.253617,2016,58.944959
-78476471.449567,2016,60.771956
-78930209.385153,2016,62.61496
-76982246.619146,2016,64.463948
-76184550.104276,2016,66.336955
-77062728.005463,2016,68.143952
-77721516.181555,2016,70.013942
-77405711.309401,2016,71.924952
-76629552.508665,2016,73.770939
-77115756.79196,2016,75.651937
-77945614.284215,2016,77.551939
-76454088.844758,2016,79.379934
-76266699.846028,2016,81.266933
-76750519.84274,2016,83.076931
-76352031.694784,2016,84.997931
-75954496.601798,2016,86.979929
-74618104.287977,2016,88.859927
-74398544.821635,2016,90.723927
-73591444.416726,2016,92.608934
-74514022.00287,2016,94.486926
-73358083.552662,2016,96.290922
-72394578.183629,2016,98.123923
-73685540.800163,2016,99.97492
-74377460.260252,2016,101.835928
-74012548.871662,2016,103.648917
-71944788.450309,2016,105.497916
-73249697.759494,2016,107.374939
-73856285.922995,2016,109.211917
-73807621.978095,2016,111.04494
-70044675.498694,2016,112.888922
-66863814.166998,2016,114.710912
-68061142.532073,2016,116.582999
-68132481.210776,2016,118.482911
-67001142.948244,2016,120.315911
-70173050.657198,2016,122.177906
-73253644.836691,2016,124.079906
-72547833.631677,2016,125.979983
-72932745.889734,2016,127.841904
-72852539.963568,2016,129.690915
-71398787.95855,2016,131.603903
-69577177.959182,2016,133.484945
-69999404.982283,2016,135.347922
-69999111.511238,2016,137.310897
-67400205.70505,2016,139.185897
-69315027.670164,2016,141.080895
-70054462.954669,2016,142.977894
-68432477.08851,2016,144.906896
-68700230.985541,2016,146.758894
-67378574.575093,2016,148.716891
-65699303.192504,2016,150.61089
-66182150.260167,2016,152.437888
-64404286.929714,2016,154.340887
-62595984.86178,2016,156.248886
-60003159.762729,2016,158.068885
-57667844.559391,2016,159.853893
-56722314.75123,2016,161.715885
-59435048.990918,2016,163.584883
-60825176.334773,2016,165.515889
-59505250.287249,2016,167.447882
-57598373.801549,2016,169.281883
-53848240.256941,2016,171.191878
-51254640.248606,2016,173.106887
-52085699.001578,2016,175.056884
-49295670.525843,2016,176.918873
-48416345.710029,2016,178.828887
-51592962.766769,2016,180.792875
-49159035.87191,2016,182.67987
-48697229.37488,2016,184.56688
-52368831.303743,2016,186.566944
-50893820.775832,2016,755.272529
-51657445.413111,2016,755.817538
-50708542.985647,2016,756.364538
-51432360.991339,2016,756.901537
-51990167.934725,2016,757.436537
-51688262.874008,2016,757.973537
-50833849.165658,2016,758.506526
-51885752.853761,2016,759.034549
-51583230.684665,2016,759.556553
-51178041.536633,2016,760.074548
