#{"t_start": 1737995165.1989772, "env_id": "DiscretizedWaterSupplyEnv-v1"}
r,l,t
-28219279.772418,2016,191.026865
-30988711.462408,2016,196.230862
-33859866.187977,2016,201.056866
-32634722.373241,2016,205.840857
-31453996.301921,2016,210.726862
-32086490.006574,2016,215.725876
-31301556.920625,2016,220.857846
-30906465.517356,2016,226.080843
-40613861.337187,2016,231.452841
-37175351.185155,2016,236.813846
-34398643.593914,2016,242.348834
-31522929.586045,2016,247.775838
-32170387.62142,2016,253.632829
-29282132.99975,2016,259.671824
-32295609.562061,2016,265.58882
-24473331.058168,2016,271.464819
-34095784.818077,2016,277.378814
-32202378.713998,2016,283.160848
-33352963.561328,2016,289.138808
-31424438.453529,2016,294.930805
-26630524.566212,2016,300.88381
-35856123.341589,2016,306.902796
-28192637.288372,2016,312.610795
-27806810.255245,2016,318.461789
-33538382.620309,2016,324.720787
-29757172.165741,2016,330.923785
-24580775.148381,2016,336.678777
-27683622.109593,2016,342.233775
-27167870.485381,2016,347.841771
-21329927.612368,2016,353.181767
-16424126.677958,2016,358.862764
-23031825.409732,2016,364.50276
-26169835.282235,2016,370.228758
-22319261.354128,2016,375.897754
-12865839.325918,2016,381.58483
-26920261.694727,2016,387.331752
-24208631.822086,2016,393.073752
-30512845.673691,2016,399.463745
-14397794.845878,2016,405.806763
-23785534.739415,2016,411.962733
-18534738.527602,2016,417.832728
-17094602.974076,2016,423.652727
-23712399.745803,2016,429.369731
-22659180.095853,2016,434.998727
-23666631.453421,2016,440.825715
-21442264.70691,2016,446.578712
-24673786.463539,2016,452.395708
-22323669.691171,2016,458.340704
-23039187.565739,2016,464.311702
-23791214.058463,2016,470.081711
-21597445.450611,2016,475.842694
-19984839.43517,2016,481.614702
-27444127.557093,2016,487.268698
-22839366.378337,2016,493.010696
-18772038.010493,2016,498.54668
-18810411.508311,2016,504.076677
-23116950.415511,2016,509.643673
-23992289.431025,2016,515.052684
-29723440.43066,2016,520.476667
-21160595.708774,2016,525.841665
-12262185.004967,2016,531.518661
-15820421.486658,2016,537.199664
-11968536.114495,2016,542.583654
-22105950.275642,2016,548.340652
-16265146.023976,2016,554.019656
-12905874.422379,2016,559.491643
-13926857.466228,2016,564.919647
-18688635.127205,2016,570.341637
-20680070.218443,2016,575.832633
-18969685.894827,2016,581.38863
-17354770.726342,2016,587.146629
-13506300.988023,2016,593.013624
-15142006.835893,2016,598.86162
-14476845.211474,2016,604.734619
-10389969.892612,2016,610.736614
-16363002.006273,2016,616.73161
-12541715.433716,2016,622.565606
-12551439.165533,2016,628.519605
-15808318.544323,2016,634.6436
-18076514.498943,2016,640.482596
-9784579.613291,2016,646.3426
-14641002.785076,2016,652.278588
-17232243.488266,2016,658.250584
-19339404.907637,2016,663.926596
-17108700.502167,2016,669.792577
-11354541.560182,2016,675.691588
-16067487.696558,2016,681.312588
-16456478.601962,2016,686.991569
-14065937.954371,2016,692.742564
-13627197.672234,2016,698.26457
-11879370.019259,2016,703.957557
-11333065.088254,2016,709.612555
-13267773.981833,2016,715.390555
-16100579.865301,2016,721.131645
-11527767.814011,2016,726.806544
-7032173.927256,2016,732.495541
-8747416.936477,2016,738.138536
-9906334.824198,2016,743.567542
-12050700.686982,2016,749.158532
-11860911.967545,2016,754.648551
-8007909.576234,2016,761.133523
-7467263.034096,2016,762.198522
-8057131.387159,2016,763.271532
-7914196.278928,2016,764.403532
-8093515.83741,2016,765.552545
-7863184.319563,2016,766.67252
-7990128.358183,2016,767.816522
-7806229.475338,2016,768.970529
-7549881.068139,2016,770.09753
-7959977.835717,2016,771.208519
